< 0, 0, 0 >
< 64.9003, 0, 58.7859 >
< 64.9003, 0, 57.6768 >
< 64.9003, 0, 57.6768 >
< 64.9003, 0, 56.5676 >
< 64.9003, 0, 55.4584 >
< 64.9003, 0, 55.4584 >
< 64.9003, 0, 54.3493 >
< 64.9003, 0, 54.3493 >
< 65.8274, 0, 53.2401 >
< 65.8274, 0, 53.2401 >
< 65.8274, 0, 53.2401 >
< 65.8274, 0, 52.1309 >
< 65.8274, 0, 51.0218 >
< 65.8274, 0, 49.9126 >
< 65.8274, 0, 49.9126 >
< 65.8274, 0, 48.8034 >
< 65.8274, 0, 48.8034 >
< 65.8274, 0, 47.6943 >
< 65.8274, 0, 47.6943 >
< 65.8274, 0, 47.6943 >
< 65.8274, 0, 46.5851 >
< 65.8274, 0, 46.5851 >
< 65.8274, 0, 46.5851 >
< 65.8274, 0, 45.4759 >
< 65.8274, 0, 44.3667 >
< 65.8274, 0, 44.3667 >
< 65.8274, 0, 44.3667 >
< 65.8274, 0, 44.3667 >
< 66.7545, 0, 44.3667 >
< 66.7545, 0, 44.3667 >
< 68.6088, 0, 44.3667 >
< 69.536, 0, 44.3667 >
< 69.536, 0, 44.3667 >
< 69.536, 0, 44.3667 >
< 70.4631, 0, 44.3667 >
< 70.4631, 0, 44.3667 >
< 70.4631, 0, 44.3667 >
< 72.3174, 0, 44.3667 >
< 72.3174, 0, 44.3667 >
< 72.3174, 0, 44.3667 >
< 73.2446, 0, 45.4759 >
< 73.2446, 0, 45.4759 >
< 75.0989, 0, 46.5851 >
< 75.0989, 0, 46.5851 >
< 75.0989, 0, 46.5851 >
< 76.026, 0, 47.6943 >
< 76.026, 0, 48.8034 >
< 77.8803, 0, 48.8034 >
< 77.8803, 0, 48.8034 >
< 78.8074, 0, 48.8034 >
< 78.8074, 0, 48.8034 >
< 78.8074, 0, 48.8034 >
< 78.8074, 0, 47.6943 >
< 79.7346, 0, 47.6943 >
< 79.7346, 0, 47.6943 >
< 79.7346, 0, 46.5851 >
< 79.7346, 0, 45.4759 >
< 79.7346, 0, 43.2576 >
< 79.7346, 0, 43.2576 >
< 79.7346, 0, 43.2576 >
< 79.7346, 0, 43.2576 >
< 79.7346, 0, 43.2576 >
< 79.7346, 0, 43.2576 >
< 79.7346, 0, 43.2576 >
< 79.7346, 0, 43.2576 >
< 79.7346, 0, 44.3667 >
< 79.7346, 0, 44.3667 >
< 79.7346, 0, 45.4759 >
< 81.5889, 0, 46.5851 >
< 81.5889, 0, 47.6943 >
< 81.5889, 0, 47.6943 >
< 81.5889, 0, 48.8034 >
< 81.5889, 0, 48.8034 >
< 81.5889, 0, 49.9126 >
< 81.5889, 0, 49.9126 >
< 79.7346, 0, 51.0218 >
< 79.7346, 0, 51.0218 >
< 78.8074, 0, 51.0218 >
< 77.8803, 0, 51.0218 >
< 77.8803, 0, 52.1309 >
< 77.8803, 0, 52.1309 >
< 76.026, 0, 53.2401 >
< 76.026, 0, 53.2401 >
< 75.0989, 0, 53.2401 >
< 75.0989, 0, 54.3493 >
< 75.0989, 0, 55.4584 >
< 75.0989, 0, 55.4584 >
< 73.2446, 0, 55.4584 >
< 73.2446, 0, 56.5676 >
< 72.3174, 0, 56.5676 >
< 70.4631, 0, 57.6768 >
< 70.4631, 0, 57.6768 >
< 69.536, 0, 58.7859 >
